event_id,timestamp,destination_port,flow_duration,total_fwd_packets,total_backward_packets,flow_bytes_per_sec,flow_packets_per_sec,protocol,source_ip,target_ip,scenario
BPKG-022,2026-05-11T15:40:19Z,22,9.77117,1.0,239.0,1225.5441262407676,24.562053469543567,tcp,192.168.56.102,192.168.56.101,benign_package_update
BPKG-023,2026-05-11T15:45:35Z,22,18.256609,1.0,471.0,1116.0341989029835,25.8536511353231,tcp,192.168.56.102,192.168.56.101,benign_package_update
BPKG-024,2026-05-11T15:47:41Z,22,9.615835,0.0,225.0,1196.671947885961,23.398903995336855,tcp,192.168.56.102,192.168.56.101,benign_package_update
BPKG-025,2026-05-11T17:50:03Z,22,9.336677,216.0,207.0,2342.589338797947,45.30519798425071,tcp,192.168.56.102,192.168.56.101,benign_package_update
BPKG-026,2026-05-11T18:38:12Z,22,9.342441,231.0,227.0,2472.1590428026248,49.02359030150685,tcp,192.168.56.102,192.168.56.101,benign_package_update
BPKG-027,2026-05-11T17:53:51Z,22,9.565156,214.0,209.0,2301.68749992159,44.223011104053086,tcp,192.168.56.102,192.168.56.101,benign_package_update
BPKG-028,2026-05-11T17:55:42Z,22,8.596051,218.0,205.0,2510.920421481911,49.2086424336012,tcp,192.168.56.102,192.168.56.101,benign_package_update
BPKG-029,2026-05-11T17:57:36Z,22,10.191805,243.0,239.0,2357.972900776653,47.29289855918554,tcp,192.168.56.102,192.168.56.101,benign_package_update
BPKG-030,2026-05-11T17:59:48Z,22,10.288,282.0,277.0,2615.8631415241057,54.335147744945566,tcp,192.168.56.102,192.168.56.101,benign_package_update
BSSH-001,2026-05-11T12:41:16Z,22,10.045158,1.0,18.0,393.3238282563599,1.891458551473257,tcp,192.168.56.102,192.168.56.101,benign_ssh_login
BSSH-002,2026-05-11T12:58:24Z,22,5.997753,1.0,17.0,658.7467006393894,3.00112392090838,tcp,192.168.56.102,192.168.56.101,benign_ssh_login
BSSH-003,2026-05-11T13:16:04Z,22,6.725155,1.0,17.0,592.8487893587583,2.676518236382656,tcp,192.168.56.102,192.168.56.101,benign_ssh_login
BSSH-004,2026-05-11T13:22:58Z,22,6.200553,0.0,17.0,637.201230277364,2.741690942727205,tcp,192.168.56.102,192.168.56.101,benign_ssh_login
BSSH-005,2026-05-11T13:24:57Z,22,5.607754,1.0,17.0,704.5601501064419,3.209841230553266,tcp,192.168.56.102,192.168.56.101,benign_ssh_login
