model_load_time_s,total_events,batch_size,repeat_index,total_time_s,events_per_second,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,failed_events,process_cpu_time_s,cpu_time_per_event_ms,memory_rss_mb_before,memory_rss_mb_after,memory_rss_delta_mb,peak_memory_mb
0.006422500002372544,100,100,2,0.35139977099970565,284.57616723968715,3.512552710053569,2.84354900031758,5.778904950966535,8.14671299976908,8.405499000218697,0,0.3513920000000006,3.513920000000006,,,,143.15625
0.006422500002372544,100,100,3,0.296458076001727,337.3158233659232,2.9633437601296464,2.605200001198682,4.4059900003048815,4.7047569900314565,4.908398997940822,0,0.2964627999999996,2.964627999999996,,,,143.15625
0.006422500002372544,500,1,1,1.279617693999171,390.7417053896442,2.5574683880186058,2.447549999487819,3.1394540477776895,3.936715002128038,4.768900002090959,0,1.2796098999999996,2.5592197999999993,,,,143.53125
0.006422500002372544,500,1,2,1.350280186998134,370.2935174599366,2.698864974096068,2.413700000033714,2.91268905275501,11.502620999999635,12.399898998410208,0,1.3502674999999993,2.7005349999999986,,,,143.53125
0.006422500002372544,500,1,3,1.2735588929972437,392.60061136496034,2.545378986040305,2.464349501678953,3.0474450011752197,3.417708001252321,5.391399001382524,0,1.2735556,2.5471112,,,,143.53125
0.006422500002372544,500,10,1,1.3381444879996707,373.6517278096228,2.675173378091131,2.428399500786327,4.409900001701316,5.45795899888617,7.184099998994498,0,1.3381276999999994,2.6762553999999987,,,,143.53125
0.006422500002372544,500,10,2,1.2525501950003672,399.18559910475557,2.5040235899214167,2.417649999188143,2.9764649978460493,3.3195179908216224,4.965399999491638,0,1.2525527000000007,2.5051054000000015,,,,143.53125
0.006422500002372544,500,10,3,1.3239906890012207,377.6461603194394,2.6467705779650714,2.50419999974838,3.3959840508032317,4.856601000501541,5.3470000020752195,0,1.3239747000000008,2.6479494000000017,,,,143.53125
0.006422500002372544,500,50,1,1.2516965930008155,399.45782611846914,2.5024993860715767,2.382699500230956,3.020189999551802,4.499107999326951,5.117798998981016,0,1.2516792999999993,2.5033585999999985,,,,143.53125
0.006422500002372544,500,50,2,1.2878614690016548,388.240515020298,2.5748129380881437,2.405148999969242,3.7247340485919262,4.5552399985899665,5.007000003388384,0,1.2878475999999992,2.5756951999999984,,,,143.53125
0.006422500002372544,500,50,3,1.2536392719994183,398.83881365853705,2.506327543997031,2.413199999864446,3.022124050221464,3.7428999995972845,4.114600000320934,0,1.2536300000000011,2.5072600000000023,,,,143.53125
0.006422500002372544,500,100,1,1.2536018719983986,398.8507126293113,2.506310144017334,2.3796000004949747,3.2878440015338066,3.93281499902514,5.043199998908676,0,1.2535944000000008,2.5071888000000015,,,,143.53125
0.006422500002372544,500,100,2,1.2516501730024174,399.4726408263232,2.5024085459226626,2.4145000006683404,3.037205001237452,4.149509990747901,5.05929999781074,0,1.2516445999999988,2.5032891999999975,,,,143.53125
0.006422500002372544,500,100,3,1.252798672998324,399.10642529924587,2.504712746027508,2.41575000109151,2.931338999223951,3.825933990556222,4.363899999589194,0,1.2527800000000013,2.5055600000000027,,,,143.53125
0.006422500002372544,1000,1,1,2.88515601600011,346.60170696292835,2.8825801160855917,2.4142495003616204,3.714129052059433,13.023670999755264,17.036899000231642,0,2.8851444000000015,2.8851444000000015,,,,144.15625
