threshold,precision,recall,f1
4402.497040485018,1.0,0.5,0.6666666666666666
4427.436643514202,1.0,0.5,0.6666666666666666
4452.376246543386,1.0,0.5,0.6666666666666666
4477.31584957257,1.0,0.5,0.6666666666666666
4502.255452601754,1.0,0.5,0.6666666666666666
4527.1950556309375,1.0,0.5,0.6666666666666666
4552.134658660122,1.0,0.5,0.6666666666666666
4577.074261689306,1.0,0.5,0.6666666666666666
4602.01386471849,1.0,0.5,0.6666666666666666
4626.953467747674,1.0,0.5,0.6666666666666666
4651.893070776858,1.0,0.5,0.6666666666666666
4676.832673806042,1.0,0.5,0.6666666666666666
4701.772276835226,1.0,0.5,0.6666666666666666
4726.71187986441,1.0,0.5,0.6666666666666666
4751.651482893594,1.0,0.5,0.6666666666666666
4776.591085922778,1.0,0.5,0.6666666666666666
4801.530688951962,1.0,0.5,0.6666666666666666
4826.470291981146,1.0,0.5,0.6666666666666666
4851.40989501033,1.0,0.5,0.6666666666666666
4876.349498039514,1.0,0.5,0.6666666666666666
4901.289101068698,1.0,0.5,0.6666666666666666
4926.228704097882,1.0,0.5,0.6666666666666666
4951.168307127066,1.0,0.5,0.6666666666666666
4976.10791015625,1.0,0.5,0.6666666666666666
